id	filename	md5	size	state
0d7910ae-2cf2-4042-8b52-db0823b86ef6	9fadf229-c49f-4b92-ae15-7c0c61e8e593.rna_seq.augmented_star_gene_counts.tsv	345a3dfee667c22fe79805fc0c95eb03	4237179	released
78532bd9-8801-4e9d-a697-f6ece27fd5cc	44c392a8-c239-4b94-a03a-1aa5581f5e4a.rna_seq.augmented_star_gene_counts.tsv	91bcc66aa6a8924e78737137ec19d268	4242350	released
c55f52f7-b07b-45ce-b70c-517d4a35b69d	4f42f303-6fc3-4aeb-b982-094e80525953.rna_seq.augmented_star_gene_counts.tsv	9aee6244bbfa369362f49d7544d51772	4245953	released
bbcfb994-6e5d-46d9-9141-03087a412637	4cd31c01-4a33-4f89-9ea6-bbb78869a8fb.rna_seq.augmented_star_gene_counts.tsv	e8efada08f921cc61a7499d8c441ff83	4241933	released
7966d194-931d-4b96-997d-3d2ac736e72a	ea73a9eb-461b-42bb-bfbc-382cd512fb9f.rna_seq.augmented_star_gene_counts.tsv	f94ea7ba27ebe15da73baebf1ded116c	4250403	released
914a7bc5-8774-4982-9300-9276afe99bd8	6830695a-1cd6-4a74-b108-2890fd6509d8.rna_seq.augmented_star_gene_counts.tsv	db5ee8cfdd4ffcc45704ad6c9ce8da27	4245956	released
ff05a7c3-8a3b-4ba3-91b7-cc0263e112b8	efe65656-f9e1-43e9-b29a-8db8a6c372f1.rna_seq.augmented_star_gene_counts.tsv	de07f2192f3d18d13e242c2420c6a0c7	4224840	released
1daeecbb-d35f-47ec-bf14-7e74ea15c984	eefa0692-7324-4871-a96b-442fb1a5a65c.rna_seq.augmented_star_gene_counts.tsv	96f0da6a09ab4049fa84a344538ba978	4232943	released
b3fa89d0-11c7-492c-87f4-70f72b7bf9fa	19adeada-7103-44e1-8326-7b7f4eae79b6.rna_seq.augmented_star_gene_counts.tsv	1eaba1fa280c9acfabd6153a507c56f2	4235167	released
6ec6e2e5-2e6a-49b5-8b99-5c017e2d090d	baa29642-0988-4335-b397-64cc8a740252.rna_seq.augmented_star_gene_counts.tsv	d4b5710e09e2fa6197d13925464c4276	4246151	released
b88c1d7d-4c81-4ab3-86f4-d7dd4383ee13	8dd4472b-2d8d-4a25-b052-a46efebd6240.rna_seq.augmented_star_gene_counts.tsv	b8117b70844ebf311adbe02cd7f65920	4224245	released
